MONTH,DAY,TRANSACTION_ID,TRANSACTION_AMT,QTY,PRICE,ITEM,ITEM_ID,BRAND,BRAND_ID
M1,1,T1,331.5,1,104,TOILET SOAPS (04/00),73,RECKITT BENCKISER,267
M1,1,T1,331.5,1,26,WASHING POWDERS/LIQUIDS,80,HINDUSTAN UNILEVER LIMITED,133
M1,1,T1,331.5,1,9.5,WASHING POWDERS/LIQUIDS,80,PROCTER & GAMBLE,253
M1,1,T1,331.5,1,9.5,WASHING POWDERS/LIQUIDS,80,PROCTER & GAMBLE,253
M1,1,T1,331.5,2,9.5,BISCUITS - CORE & NON CORE,12,PARLE PRODS,234
M1,1,T1,331.5,5,9.5,BISCUITS - CORE & NON CORE,12,BRITANNIA INDS,49
M1,1,T1,331.5,1,68,RUBEFACIENT,59,GLAXO SMITHKLINE,106
M1,1,T1,331.5,1,10,WASHING POWDERS/LIQUIDS,80,HINDUSTAN UNILEVER LIMITED,133
M1,1,T1,331.5,1,38,COCONUT OIL PKTYP (08/02),23,MARICO INDS,199
M1,1,T1,58,2,29,SANITARY NAPKINS,62,PROCTER & GAMBLE,253
M1,1,T10,1245,1,20,TOOTH PASTES,75,DABUR,66
M1,1,T10,1245,7,175,REFINED EDIBLE OILS-ALL PACKS,58,HERSHEY INDIA PVT LTD,130
M1,1,T10,185,2,15,BATTERIES,10,EVEREADY INDS,84
M1,1,T10,185,1,108,PACKAGED TEA,53,GIRNAR FOOD & BEVER,104
M1,1,T10,185,1,20,BISCUITS - CORE & NON CORE,12,BRITANNIA INDS,49
M1,1,T10,185,1,27,WASHING POWDERS/LIQUIDS,80,HINDUSTAN UNILEVER LIMITED,133
M1,1,T10,175,1,110,PACKAGED TEA,53,HASMUKHRAI & CO,124
M1,1,T10,175,13,5,CHOCOLATE,17,MONDELEZ INTERNATIONAL,207
M1,1,T10,21,1,2,CONFECTIONERY - TOFFEE/HBC,29,PARLE PRODS,234
M1,1,T10,21,2,9.5,CONFECTIONERY - TOFFEE/HBC,29,I T C,136
M1,1,T10,294,1,20,SALTY SNACKS (2/97),61,PEPSICO INDIA,241
M1,1,T10,294,1,59,"FRAGRANCE-PERFUM,DEO & COLOGNE",34,J K ANSELL,143
M1,1,T10,294,1,215,BUTTER MARGR  (4/94),15,G C M M F,91
M1,9,T100,169,1,169,MILK POWDERS,45,NESTLE INDIA,221
M1,4,T100,15,1,5,BISCUITS - CORE & NON CORE,12,BRITANNIA INDS,49
M1,4,T100,15,1,10,BISCUITS - CORE & NON CORE,12,BRITANNIA INDS,49
M1,5,T100,234.16,12,4.68,BISCUITS - CORE & NON CORE,12,BRITANNIA INDS,49
M1,5,T100,234.16,1,26,WASHING POWDERS/LIQUIDS,80,HINDUSTAN UNILEVER LIMITED,133
M1,5,T100,234.16,3,16,DETERGENT CAKES/BARS,31,HINDUSTAN UNILEVER LIMITED,133
M1,5,T100,234.16,4,26,DETERGENT CAKES/BARS,31,HINDUSTAN UNILEVER LIMITED,133
M1,2,T100,493,1,493,PACKAGED PURE GHEE,51,PATANJALI AYURVED LTD,236
M1,9,T1000,98,1,28,SPICES (03/04),69,S NARENDRA KUMAR,281
M1,9,T1000,98,1,70,SPICES (03/04),69,S NARENDRA KUMAR,281
M2,29,T1000,121,1,20,SALTY SNACKS (2/97),61,PEPSICO INDIA,241
M2,29,T1000,121,1,101,KETCHUPS/SAUCES,42,NESTLE INDIA,221
M3,7,T1000,67,1,67,COCONUT OIL PKTYP (08/02),23,MARICO INDS,199
M1,9,T1001,53.46,1,5,BISCUITS - CORE & NON CORE,12,PARLE PRODS,234
M1,9,T1001,53.46,1,26.46,SPICES (03/04),69,S NARENDRA KUMAR,281
M1,9,T1001,53.46,1,22,BLUES,13,JYOTHY LABORATORIES,152
M2,16,T1001,154,1,10,BISCUITS - CORE & NON CORE,12,PARLE PRODS,234
M2,16,T1001,154,1,20,BISCUITS - CORE & NON CORE,12,BRITANNIA INDS,49
M2,16,T1001,154,1,15,KETCHUPS/SAUCES,42,HINDUSTAN UNILEVER LIMITED,133
M2,16,T1001,154,1,10,SPICES (03/04),69,CAPITAL FOODS,52
M2,16,T1001,154,1,99,TALCUM POWDERS,72,HINDUSTAN UNILEVER LIMITED,133
M2,12,T1001,55,1,55,SALTY SNACKS (2/97),61,NATIONAL PRODUCT,217
M3,7,T1001,540,1,95,TOOTH BRUSH   (7/93),74,COLGATE-PALMOLIVE,61
M3,7,T1001,540,1,215,PACKAGED TEA,53,HASMUKHRAI & CO,124
M3,7,T1001,540,2,9.5,WASHING POWDERS/LIQUIDS,80,HINDUSTAN UNILEVER LIMITED,133
M3,7,T1001,540,1,67,COCONUT OIL PKTYP (08/02),23,MARICO INDS,199
M3,7,T1001,540,1,70,TOILET SOAPS (04/00),73,KARNATAKA SOAPS,162
M3,7,T1001,540,1,74,WASHING POWDERS/LIQUIDS,80,HINDUSTAN UNILEVER LIMITED,133
